date,keyword,title,final_score,sentiment_score,url
"2025-12-01","tesla","Amazon Out of Time With Thousands of Galaxy Tab A9+, Goes Zero Profit for Cyber Monday Clearance - Kotaku",42.5,0.6,"https://kotaku.com/amazon-out-of-time-with-thousands-of-galaxy-tab-a9-goes-zero-profit-for-cyber-monday-clearance-2000648929"
"2025-12-01","tesla","Roborock Q7 Max+ With 9 Weeks Self-Empty Crashes to Record Low, Cyber Monday Goes Zero Profit for Final Clearance - Kotaku",42.5,0.7,"https://kotaku.com/roborock-q7-max-with-9-weeks-self-empty-crashes-to-record-low-cyber-monday-goes-zero-profit-for-final-clearance-2000648933"
"2025-12-01","tesla","Autonomous & Self Driving Vehicle News: Pony.ai, Zoox and Tesla - AUTO Connected Car News",54.17,0.2,"https://www.autoconnectedcar.com/2025/11/autonomous-self-driving-vehicle-news-pony-ai-zoox-and-tesla/"
"2025-12-01","tesla","UK CAA Approves National Test Site for Uncrewed & Autonomous Air Systems - Unmanned Systems Technology",54.17,0.6,"https://www.unmannedsystemstechnology.com/2025/12/uk-caa-approves-national-test-site-for-uncrewed-autonomous-air-systems/"
"2025-12-01","tesla","Navigation Resilience, UAS Acceleration, & Edge Computing Top UST Reads in November - Unmanned Systems Technology",54.17,0.6,"https://www.unmannedsystemstechnology.com/2025/12/navigation-resilience-uas-acceleration-edge-computing-top-ust-reads-in-november/"
"2025-12-01","tesla","From Washington: Is Congress Capable of Regulating AI? - FOX News Radio",60,-0.1,"https://radio.foxnews.com/2025/11/30/from-washington-is-congress-capable-of-regulating-ai/"
"2025-12-01","tesla","Deutsche Telekom and Schwarz Group to build AI data centre, German newspaper reports - TradingView",65.83,0.2,"https://www.tradingview.com/news/reuters.com,2025:newsml_L1N3X605X:0-deutsche-telekom-and-schwarz-group-to-build-ai-data-centre-german-newspaper-reports/"
"2025-12-01","tesla","Manufacturing PMI slows to 56.6 in November; Export demand weakens, Job creation at 21-month low - financialexpress.com",54.17,-0.3,"https://www.financialexpress.com/policy/economy-manufacturing-pmi-slows-to-56-6-in-november-export-demand-weakens-job-creation-at-21-month-low-4061422/lite/"
"2025-12-01","tesla","Latest cheese recalls gets FDA’s most serious warning - TheStreet",71.67,-0.7,"https://www.thestreet.com/retail/latest-cheese-recalls-gets-fdas-most-serious-warning"
"2025-12-01","tesla","Why You May Be Losing Your Sense of Taste - Consumer Reports",13.33,0,"https://www.consumerreports.org/health/health-wellness/why-you-may-be-losing-your-sense-of-taste-a1158969231/"
"2025-12-01","tesla","E-Bikes Are Surging in Popularity. What Will It Take to Rein Them in? - The New York Times",65.83,-0.7,"https://www.nytimes.com/2025/11/30/magazine/e-bikes-accidents-safety-legislation-california.html"
"2025-12-01","tesla","UK Autumn Budget: EV mileage tax prompts fleet cost concerns - Motor Finance Online",77.5,-0.7,"https://www.motorfinanceonline.com/news/uk-autumn-budget-ev-mileage-tax-prompts-fleet-cost-concerns/"
"2025-12-01","bitcoin","Crypto's Most Trusted Stablecoin Given Lowest Possible ‘Weak’ Rating By Major TradFi Agency - Gizmodo",60,-0.4,"https://gizmodo.com/tether-usdt-sandp-downgrade-2000693464"
"2025-12-01","bitcoin","Bitcoin Plunges to Below $88,000 in Risk-Off Start to December - Bloomberg.com",42.5,-0.7,"https://www.bloomberg.com/news/articles/2025-12-01/bitcoin-btc-slides-to-below-88-000-in-risk-off-start-to-december"
"2025-12-01","bitcoin","Where will leading cryptocurrency Bitcoin be in 5 years? - USA Today",42.5,0.7,"https://www.usatoday.com/story/money/2025/11/30/where-will-cryptocurrency-bitcoin-be-in-5-years/87537679007/"
"2025-12-01","bitcoin","Bitcoin Bear Market Confirmed, Ether Sees Death Cross - CoinDesk",48.33,-0.8,"https://www.coindesk.com/markets/2025/12/01/bitcoin-s-monthly-macd-flashes-red-echoes-of-past-bear-markets"
"2025-12-01","bitcoin","Bitcoin, Ethereum fall sharply as crypto sell-off resumes - CNBC",42.5,-0.7,"https://www.cnbc.com/2025/12/01/bitcoin-ethereum-fall-sharply-as-crypto-sell-off-resumes-.html"
"2025-12-01","bitcoin","New Saudi Discovery Reveals 11 Million Tonnes of Copper, Zinc, Gold, and Silver - Bitcoin.com News",48.33,0.5,"https://news.bitcoin.com/new-saudi-discovery-reveals-11-million-tonnes-of-copper-zinc-gold-and-silver/"
"2025-12-01","bitcoin","Bitcoin Price Forecast 2026: Will BTC Crash to $50k or Rocket Toward $300k? - ts2.tech",54.17,0,"https://ts2.tech/en/bitcoin-price-forecast-2026-will-btc-crash-to-50k-or-rocket-toward-300k/"
"2025-12-01","bitcoin","PIGGED•BY•PIGGY ($PIGGY) Price Today, News & Live Chart | Forbes Crypto Market Data - Forbes",25,0,"https://www.forbes.com/digital-assets/assets/pigged-by-piggy-pbp-2/"
"2025-12-01","bitcoin","SEC’s Hester Peirce Defends Self-Custody as Bitcoin Holders Shift to ETFs - Cointribune",71.67,-0.2,"https://www.cointribune.com/en/sec-leaders-back-crypto-self-custody-as-etf-adoption-reshapes-bitcoin-ownership/"
"2025-12-01","bitcoin","Asia Morning Briefing: BOJ Rate-Hike Bets Trigger Asia Selloff and Bitcoin Slide - CoinDesk",60,-0.7,"https://www.coindesk.com/markets/2025/12/01/asia-morning-briefing-boj-rate-hike-bets-trigger-asia-selloff-and-bitcoin-slide"
"2025-12-01","bitcoin","DCR Mining provides global cryptocurrency investors with a one-click cloud mining service, enabling them to earn daily passive income - Latest news from Azerbaijan",48.33,0.9,"https://news.az/news/dcr-mining-provides-global-cryptocurrency-investors-with-a-one-click-cloud-mining-service-enabling-them-to-earn-daily-passive-income"
"2025-12-01","bitcoin","Market News: El Salvador Gets First Self-Custody USDT Visa Card - Live Bitcoin News",54.17,0.6,"https://www.livebitcoinnews.com/market-news-el-salvador-gets-first-self-custody-usdt-visa-card/"
